# Kepler Asteroseismic Data
# KASOC Corrected data, by Rasmus Handberg
# Created on 2014-09-09
# KIC:       5289571
# KOI:       0
# Version:   1 (Q0-Q3)
# Unique ID: 7683507
# Periods:   None
# 
# Column 1: Time (truncated barycentric julian date)
# Column 2: Relative flux (ppm)
# Column 3: Flux error (ppm)
#---------------------------
  54953.5388363  -4.4807701082116847e+02   6.8569227258911712e+02
  54953.5592709  -2.0426141089269211e+02   7.4743265013309679e+02
  54953.5797054  -3.6386732794291277e+02   7.5978072564189290e+02
  54953.6001401  -4.0256053498399780e+02   7.6507275800280547e+02
  54953.6205747  -5.6727885892926543e+02   7.6726646549265990e+02
  54953.6410092  -6.5257176974831134e+02   7.6839756424928066e+02
  54953.6614438  -7.3937145630109671e+02   7.6797090149018447e+02
  54953.6818785  -5.7802722344091342e+02   7.6870644911203635e+02
  54953.7023129  -5.7385458139469495e+02   7.6944033059381456e+02
  54953.7227475  -4.5752795204423433e+02   7.7037322620552732e+02
  54953.7431822  -2.6458729963518834e+02   7.7165034114601531e+02
  54953.7636167  -2.4168357506526573e+02   7.7325351915112628e+02
  54953.7840513  -1.3096725364492022e+02   7.7472677337787206e+02
  54953.8044859  -5.6329816024991430e+01   7.7603743291292403e+02
  54953.8249205   1.0099433378263356e+01   7.7723061317853762e+02
  54953.8453550   4.2665038910705277e+01   7.7829307840901026e+02
  54953.8657896  -4.4935514684762978e+00   7.7933179563155659e+02
  54953.8862243  -1.0226929537959784e+02   7.8032705853212462e+02
  54953.9066588  -1.5225143948971453e+02   7.8121472544344203e+02
  54953.9270934  -1.4386087043205544e+02   7.8204112887670408e+02
  54953.9475281  -1.8137347930746728e+02   7.8288547119895327e+02
  54953.9679626  -3.3321711924660934e+02   7.8372830301870022e+02
  54953.9883971  -4.9757152964402530e+02   7.8450583204338068e+02
  54954.0088316  -6.0914198820194440e+02   7.8538694642971086e+02
  54954.0292663  -8.5139783122201163e+02   7.8631148918288602e+02
  54954.0497009  -9.5201901600228121e+02   7.8726617448299896e+02
  54954.0701355  -1.0039296547098564e+03   7.8841844821918164e+02
  54954.0905701  -1.0836195871475329e+03   7.8948692022909654e+02
  54954.1110047  -1.1646207552746812e+03   7.9048041174708760e+02
  54954.1314392  -1.2747590823288801e+03   7.9128543834595951e+02
  54954.1518737  -1.2186096662462064e+03   7.9203767631539699e+02
  54954.1723084  -1.3283056851828289e+03   7.9274215314391779e+02
  54954.1927430  -1.3901413545088781e+03   7.9351320777000763e+02
  54954.2131775  -1.3432873835689252e+03   7.9423822928409209e+02
  54954.2336122  -1.4142965023805632e+03   7.9492122056547601e+02
  54954.2540468  -1.4506118092066922e+03   7.9556573346481014e+02
  54954.2744812  -1.2503368369455313e+03   7.9617512124369966e+02
  54954.2949158  -1.0680550596936512e+03   7.9675577923793162e+02
  54954.3153505  -6.8390160394782299e+02   7.9735073720465573e+02
  54954.3357851  -3.3535692720665367e+02   7.9801498950628309e+02
  54954.3562196  -2.3565239536504912e+01   7.9867417431116507e+02
  54954.3766543   3.3518255557640765e+02   7.9930159117364326e+02
  54954.3970889   6.0463974332414239e+02   7.9989948253671037e+02
  54954.4175234   9.4817886696407777e+02   8.0046988464170568e+02
  54954.4379579   1.0557315382551114e+03   8.0096416660782177e+02
  54954.4583926   1.1077818507223558e+03   8.0138734734531465e+02
  54954.4788271   1.0434851914329356e+03   8.0174439306554450e+02
  54954.4992617   1.0737041461230667e+03   8.0208272892304285e+02
  54954.5196963   8.7845656208074274e+02   8.0233316124243993e+02
  54954.5401310   8.5548829477666288e+02   8.0247485705792872e+02
  54954.5605656   6.6363493400301013e+02   8.0255704072019387e+02
  54954.5810000   4.8992923764235030e+02   8.0260859371828985e+02
  54954.6014347   2.5970213729431532e+02   8.0265818279264897e+02
  54954.6218693   7.6637448099381444e+01   8.0273233137600732e+02
  54954.6423038  -1.9584153596041710e+02   8.0282968756878711e+02
  54954.6627384  -1.7741027937945296e+02   8.0292353543029537e+02
  54954.6831731  -2.4688240727166465e+02   8.0301406124360892e+02
  54954.7036076  -1.7870760442650902e+02   8.0310143833298105e+02
  54954.7240421  -6.3241877544695235e+01   8.0318582817143454e+02
  54954.7444768   1.0154309835952446e+02   8.0326738137666257e+02
  54954.7649113   2.2756385029198967e+02   8.0332288138700403e+02
  54954.7853459   4.3851979531006612e+02   8.0335359909001431e+02
  54954.8057805   5.9160944833225312e+02   8.0338333382652831e+02
  54954.8262151   8.1814219755349529e+02   8.0341213203590792e+02
  54954.8466497   9.5988001757518759e+02   8.0340911236245324e+02
  54954.8670842   1.1075311348960338e+03   8.0337242904888160e+02
  54954.8875188   1.2480444771270083e+03   8.0333684899286106e+02
  54954.9079534   1.2778339498189516e+03   8.0336462930588732e+02
  54954.9283880   1.3337175672989422e+03   8.0339899411895078e+02
  54954.9488225   1.3286054512076096e+03   8.0350416760035375e+02
  54954.9692572   1.4346140836469790e+03   8.0370841418451789e+02
  54954.9896918   1.3744534531812126e+03   8.0390690734377608e+02
  54955.0101262   1.3551707207437591e+03   8.0409988680416609e+02
  54955.0305609   1.2826957052747280e+03   8.0428906121395551e+02
  54955.0509955   1.3079840133560783e+03   8.0448926892390034e+02
  54955.0714301   1.2073110568828761e+03   8.0472895110003344e+02
  54955.0918646   1.2817875131261314e+03   8.0499188561324365e+02
  54955.1122993   1.3509498862041003e+03   8.0524799065857837e+02
  54955.1327339   1.2612653817956066e+03   8.0549752890787875e+02
  54955.1531684   1.2992420021606943e+03   8.0575024203262649e+02
