time,time_raw,flux
54955.4192458,54955.4192458,-88.74291323397821
54955.4396804,54955.4396804,253.12888212912193
54955.4601152,54955.4601152,79.84464083898592
54955.4805497,54955.4805497,650.530122534339
54955.5009844,54955.5009844,680.9479245914347
54955.5214189,54955.5214189,849.8630693449081
54955.5418536,54955.5418536,729.7367651693098
54955.5622883,54955.5622883,588.9076363680965
54955.5827229,54955.5827229,611.138653957658
54955.6031576,54955.6031576,744.3100898961545
54955.6235922,54955.6235922,148.4645848241385
54955.6440269,54955.6440269,6.671945197020847
54955.6644614,54955.6644614,-37.28624710821924
54955.6848962,54955.6848962,-78.4676558795745
54955.7053308,54955.7053308,160.2560666020222
54955.7257654,54955.7257654,738.8413645956053
54955.7462001,54955.7462001,1180.216894065082
54955.7666348,54955.7666348,1296.2650741772586
54955.7870693,54955.7870693,768.9735444132147
54955.807504,54955.807504,497.6097497534478
54955.8279387,54955.8279387,-38.413505182943254
54955.8483733,54955.8483733,-446.18872797574613
54955.868808,54955.868808,-548.5380594210477
54955.8892426,54955.8892426,174.55849196362342
54955.9096773,54955.9096773,314.9723651075609
54955.9301119,54955.9301119,375.73836919637256
54955.9505465,54955.9505465,205.272636732979
54955.9709812,54955.9709812,423.90339189743565
54955.991415900004,54955.991415900004,-166.85763813580007
54956.0118504,54956.0118504,-299.91837818462784
54956.0322852,54956.0322852,-238.4169657704479
54956.0527198,54956.0527198,-2.433371072101437
54956.0731545,54956.0731545,154.42739782281967
54956.093589,54956.093589,486.060252047565
54956.1140237,54956.1140237,246.87718137455306
54956.1344584,54956.1344584,808.3655969282792
54956.1548929,54956.1548929,674.70283820359
54956.1753277,54956.1753277,812.2652719597429
54956.1957623,54956.1957623,598.894606158028
54956.2161969,54956.2161969,699.0803343268375
54956.2366315,54956.2366315,1147.7679557453212
54956.2570663,54956.2570663,883.1919453845911
54956.2775008,54956.2775008,671.2083577897299
54956.2979341,54956.2979341,707.1933760259346
54956.3183702,54956.3183702,743.1797848849808
54956.3388047,54956.3388047,917.2486142664914
54956.3592394,54956.3592394,407.6475806252457
54956.379674,54956.379674,98.09618619762679
54956.4001088,54956.4001088,105.01105733270435
54956.4205433,54956.4205433,0.30897811067913494
54956.440978,54956.440978,362.08500964410325
54956.4614127,54956.4614127,819.0234305219972
54956.4818472,54956.4818472,1197.8868535395607
54956.5022819,54956.5022819,1024.0355621553313
54956.5227164,54956.5227164,938.5042647923883
54956.5431512,54956.5431512,738.3047826026962
54956.5635858,54956.5635858,706.4432284037342
54956.5840205,54956.5840205,320.87355379474286
54956.6044551,54956.6044551,4.434833599783417
54956.6248898,54956.6248898,-132.69740089735012
54956.6453244,54956.6453244,-173.0107257287271
54956.6657589,54956.6657589,103.33424113125727
54956.6861937,54956.6861937,148.67384355361133
54956.7066283,54956.7066283,497.8553223379563
54956.7270629,54956.7270629,123.08129102040627
54956.7474976,54956.7474976,-131.10764315535124
54956.7679323,54956.7679323,-117.53348015700654
54956.7883668,54956.7883668,-203.90224421098287
54956.8088014,54956.8088014,122.61737738829078
54956.8292362,54956.8292362,112.00119935341147
54956.8496707,54956.8496707,354.86364090280983
54956.8701054,54956.8701054,537.4173172554299
54956.8905401,54956.8905401,580.1558952432233
54956.9109748,54956.9109748,236.9483516994923
54956.9314093,54956.9314093,402.33980825826984
54956.9518439,54956.9518439,173.71576038721975
54956.9722787,54956.9722787,-323.3238362993949
54956.9927132,54956.9927132,-161.3216696496312
54957.0131479,54957.0131479,-111.61503062064654
54957.0335826,54957.0335826,340.2281805806057
54957.0540172,54957.0540172,489.52059480210465
54957.0744518,54957.0744518,781.9627234143453
54957.0948864,54957.0948864,1111.1177376946835
54957.1153211,54957.1153211,640.4726006318085
54957.1357557,54957.1357557,266.7079020209702
54957.1561904,54957.1561904,180.55314696081703
54957.1766251,54957.1766251,376.5786893077191
54957.1970597,54957.1970597,264.3874597486705
54957.2174943,54957.2174943,335.28724824589517
54957.2379289,54957.2379289,815.5943273276969
54957.2583636,54957.2583636,704.8420821311322
54957.2787982,54957.2787982,926.685732264773
54957.2992329,54957.2992329,1065.998462206576
54957.3196676,54957.3196676,607.7436504359204
54957.3401022,54957.3401022,327.4784385131086
54957.3605368,54957.3605368,-69.3857181433421
54957.3809714,54957.3809714,115.49246400820331
54957.4014061,54957.4014061,-43.82732492478107
54957.4218407,54957.4218407,144.05571562253877
54957.4422754,54957.4422754,447.9553427505107
54957.4627101,54957.4627101,672.7536257370402
54957.4831446,54957.4831446,959.3547899665017
54957.5035793,54957.5035793,870.4193055537078
54957.5240138,54957.5240138,513.9145484272248
54957.5444486,54957.5444486,211.8067592794338
54957.5648832,54957.5648832,91.21245723350427
54957.5853177,54957.5853177,-203.12843561021143
54957.6057525,54957.6057525,217.17238029041033
54957.6261871,54957.6261871,-33.237111531315435
54957.6466218,54957.6466218,84.65730189562001
54957.6670563,54957.6670563,-176.15257986967842
54957.6874911,54957.6874911,-141.48347026721922
54957.7079257,54957.7079257,13.527442257281422
54957.7283602,54957.7283602,-261.8190659217998
54957.748795,54957.748795,221.59064123844126
54957.7692296,54957.7692296,162.18340661716746
54957.7896642,54957.7896642,438.6312897979652
54957.8100988,54957.8100988,818.324643680132
54957.8305335,54957.8305335,952.2643396931735
54957.8509681,54957.8509681,1321.9994300299415
54957.8714027,54957.8714027,1125.7933089277394
54957.8918374,54957.8918374,540.570457131686
54957.9122721,54957.9122721,200.3256801188089
54957.9327066,54957.9327066,324.45878668635703
54957.9531413,54957.9531413,562.8556042211732
54957.973576,54957.973576,598.4141001460976
54957.9940106,54957.9940106,940.1145477591078
54958.0144452,54958.0144452,587.8358176909375
54958.0348797,54958.0348797,913.0413227282903
54958.0553145,54958.0553145,589.5871442428357
