frequency,linewidth,height,snr,AIC,amplitude
27.357919923109502,NA,6.577930813984301,NA,2.072364236730209,0.2851811086647494
28.804084694382304,0.0076373968123218915,11.789125837952222,6.026217021095059,29.774212144850026,0.53184908431937306
29.494411582223115,NA,7.63726849733333,NA,3.786285011217842,0.3072876682083617
29.74646151647386,NA,12.495185566103087,NA,22.441643969174038,0.3930496894687944
30.238489491906037,NA,7.975369129486817,NA,5.454660688268632,0.31401579876977814
32.10379325431665,NA,8.344628537320839,NA,4.881544775693328,0.3212030102584145
32.637283012774986,0.013046795975195542,10.790708182967803,7.264886449385846,31.075304356712877,0.6650462451714209
32.88522089168539,0.030495716823876452,13.770533779290101,14.623447720923245,209.225584834061,1.1486024727296098
33.16070742380808,0.018353826790146605,14.607127344219473,11.931852542144076,102.5055627723741,0.9177421078958692
33.42438739026835,0.00579954389581082,22.737323891982978,10.398252827236478,60.866629853029735,0.6436377833087485
33.743164663153166,0.00579954389581082,20.463754947207715,9.309801237190165,47.89487320444459,0.6106108535047289
34.3156761652067,NA,7.348604460756076,NA,3.8001629181708267,0.30142449253165693
35.84473335106044,0.00579954389581082,10.999614628278744,4.852665722231639,12.12872697056082,0.4476726796135082
36.55312729080447,0.021852124523225366,10.181826791611005,8.949462943479167,63.1196165639667,0.8360545640571813
36.90732426067649,0.0076373968123218915,77.80859536476962,43.66950712354522,335.90774282900384,1.3663482402839677
37.194617358461564,0.030495716823876452,17.13288208180819,18.39197164959201,239.28363829735463,1.2811782946814443
37.505523587571446,0.00579954389581082,66.59667590327471,32.120868858803604,279.04509191771285,1.1015345728230406
37.847913991781056,0.011257546597246204,11.707555199696863,7.326991244279459,43.794462926387496,0.6434723944830171
38.24933722430267,0.0039345533842712575,24.1713081374703,NA,53.48751344131233,0.5466039111021647
38.35953183715174,0.011257546597246204,3.5119093275860656,2.0706432989038683,10.130250412545138,0.3524264215927369
38.42039208549228,NA,11.287018438970964,NA,15.118436471584573,0.37356460436064
38.85791566810412,NA,9.871757886931082,NA,6.369482249552675,0.3493601376899516
38.94198907649683,0.009455330538147795,6.841624264961999,3.806042714748234,6.713401269509632,0.4508093384561946
39.14444795768042,NA,8.834421603586405,NA,6.739111975984997,0.3304952050616499
39.400012921829465,NA,7.396226471927471,NA,2.622280688588944,0.3023995933138142
39.58525143158037,NA,11.735319135704579,NA,19.045443673319824,0.38091103523849906
40.24264854334129,NA,7.736441965269768,NA,3.0000496765096614,0.30927636931275443
40.52013335337102,0.0076373968123218915,10.963851572403046,5.5842567540003945,20.968805437711126,0.5128958533258277
40.976653892317174,0.020106408736806934,9.069321569245687,7.588625873271435,66.937989157439,0.756884462887836
41.25607594632732,0.00579954389581082,4.951225652924665,2.099651662195044,4.78081288202884,0.30035040106192695
41.433174431263325,0.018353826790146605,30.89449802305864,26.189988778885873,393.91996769787875,1.3346851312546006
41.79524244491027,0.021852124523225366,39.576121029400255,37.20527112862566,610.5065382864996,1.6483080605595632
42.20060119931936,0.0076373968123218915,63.53403624269197,35.301890603998245,400.2770127593649,1.2346698339007978
42.30895532460623,NA,9.49214930816568,NA,2.5098608618136495,0.34257714275228024
42.568738091773206,NA,8.474226124791384,NA,2.6759918834650307,0.32368764776064834
42.688605913365244,0.0039345533842712575,92.47825573736671,NA,339.1254349805786,1.0691594338383532
44.52649463481225,0.04241735462106425,2.800213288473218,3.26521865012927,8.389176216525811,0.6108608364105955
45.03417695829547,0.011257546597246204,10.163023548723258,6.31596110032982,30.258519904557033,0.5995263544661352
45.57334345687842,0.009455330538147795,57.90325642331129,35.80581039945139,381.4138585968867,1.3114894109905566
46.01805743016217,0.03902873007330467,29.12155570250929,36.509758386164165,717.7880737951527,1.8896198061026226
46.46277140344593,0.014825019353414667,30.67409272163751,23.249675546180267,230.38540650595314,1.1952491233997091
47.04916416467848,0.013046795975195542,9.104081240879294,6.077982137532131,55.85983475558169,0.6108645660764136
47.228461939122944,NA,10.236821296744257,NA,10.055937580538739,0.3557612671730229
47.26761744707785,NA,8.867631166565735,NA,7.262148130914284,0.3311158063039875
47.36794143756329,0.0076373968123218915,5.554876226605999,2.73560008348244,18.143731922948064,0.3650772810190154
47.426974265875295,0.0076373968123218915,10.281812684802551,5.220240484773036,37.660004678811674,0.4966866166084261
47.51916064622223,NA,11.223455990468752,NA,14.712212234047911,0.3725112613165649
48.379370562642265,0.0076373968123218915,6.772342455153859,3.368056975248547,5.134399420905538,0.4031039646291096
48.89323813257936,NA,6.737473822405027,NA,3.0995352911450027,0.28861882067474764
49.05055816133503,NA,15.306153961585462,NA,44.66576325790811,0.435019916936798
49.768609788918056,0.0076373968123218915,21.163208248073385,11.135989780858367,82.70454326164327,0.712587774118979
50.20938824031434,0.0076373968123218915,106.7073357123931,60.832840368785384,672.6991874250489,1.600091257709712
50.390422247137806,0.020106408736806934,4.7431252540501685,3.843362080844622,36.62417197571267,0.5473618019075671
50.843007264196494,0.06584314920564492,4.521329061813064,6.793260153528124,113.32051704592595,0.967081981474484
51.52778807261572,0.030495716823876452,4.281677842618533,4.29128562715222,23.483120581207913,0.6404737771804908
52.25802803672634,NA,8.682543532269474,NA,6.290404345993011,0.32764201418720557
52.661218376206165,0.014825019353414667,5.025853529050866,3.4829760616140777,33.42445433988178,0.48381294542007514
52.751735379617905,0.009455330538147795,4.341052874492536,2.3611591539700547,9.617181338431692,0.3590962185983904
52.83044581736724,0.0076373968123218915,6.527299396690359,3.24027145570114,8.169883063816087,0.39574403809995023
54.68407662636411,0.045793810486012984,4.038732267976845,4.991422479342364,41.03405884314998,0.7622560143780239
55.1956944717348,0.060860435761878065,4.2861875123146715,6.164201179843281,81.99514581494441,0.9052698333868885
55.93950810846602,0.016593658612147053,6.85156222592262,5.114127096957366,36.688706523334986,0.5976415934231109
56.36847999419991,0.060860435761878065,1.052493132715345,1.411959820396083,2.6072984080165043,0.44859259524294937
57.0789258464893,NA,8.126077095985783,NA,3.960033031660714,0.31696884079572496
57.56656328246225,NA,11.027468179683563,NA,15.462133133733005,0.36924447783197867
59.97134126795222,NA,8.419880699058021,NA,5.63578089170187,0.32264806984818334
