frequency,power,tau,zeta
43.700035038460385,26.223229983391285,31077.538328424882,0.9642138131206798
43.707906082235326,0.5529220751203804,31081.811298556036,0.9642340602700784
43.71577712601027,33.35200550956549,31086.082648688563,0.9642524442447853
43.72364816978522,6.453447552459532,31090.352387937746,0.9642689712160819
43.731519213560155,13.1498000585165,31094.62052538293,0.9642836469593942
43.73939025733509,11.206312672652864,31098.887070069406,0.9642964768566663
43.74726130111003,38.99398677557518,31103.15210256037,0.9642912887017298
43.755132344884956,10.201876674434358,31107.415548435813,0.964303116195878
43.763003388659904,14.867692324112994,31111.677417729836,0.9643128694211628
43.77087443243485,85.2515852526698,31115.937720447328,0.9643205524828047
43.778745476209785,5.1503372662006655,31120.196466565943,0.9643261690745022
43.78661651998472,17.154319807912596,31124.45366603806,0.9643297224798533
43.79448756375966,19.60885454984289,31128.70932879275,0.9643312155736179
43.8023586075346,9.095650489520144,31132.9634647377,0.9643306508228229
43.81022965130953,13.627329746818392,31137.216083761166,0.9643280302877109
43.818100695084475,22.02667465802298,31141.467195733905,0.9643233556225312
43.825971738859415,15.195686594745329,31145.716810511083,0.9643166280761745
43.83384278263436,17.323190881846518,31149.9649379342,0.9643078484926532
43.84171382640929,22.004777486597046,31154.211587833015,0.9642970173114248
43.84958487018423,2.773585680051865,31158.456770027427,0.9642841345675608
43.85745591395917,13.340150342032876,31162.70049432941,0.9642691998917601
43.8653269577341,0.214298796566508,31166.942770544898,0.9642522125102073
43.873198001509046,35.79152309990324,31171.183608475687,0.9642331712442758
43.88106904528399,8.097537489624393,31175.423017921345,0.9642120745100747
43.888940089058934,0.8845723415469795,31179.661008681094,0.9641889203178415
43.89681113283386,8.856215347458539,31183.897590555738,0.964163706271178
43.9046821766088,12.129356839469724,31188.13277334954,0.9641364295661276
43.91255322038374,2.9789233370740327,31192.36656687214,0.9641070869900998
43.920424264158676,3.6178465627599716,31196.598980940456,0.9640756749206338
43.92829530793362,0.9875349000920208,31200.830025380612,0.9640421893240042
43.93616635170857,4.2141143711146665,31205.059710029833,0.964006625753668
43.944037395483505,3.0001976272978776,31209.28804473838,0.963968979348552
43.95190843925844,5.1907627813529675,31213.51503937148,0.9639292448311775
43.95977948303337,4.450508558075822,31217.74070381125,0.9638874165056245
43.967650526808306,0.14007736481542682,31221.96504795866,0.9638434882553308
43.97552157058325,7.030645315355359,31226.188081735472,0.9637974535407281
43.98339261435819,1.3971269572222258,31230.409815086205,0.9637493053967104
43.991263658133136,3.0023047958799034,31234.630257980116,0.9636990364299365
43.999134701908076,3.6739464987538737,31238.84942041317,0.9636466388159616
44.00700574568301,1.309487865661311,31243.067312410058,0.9635921042961988
44.014876789457944,3.340603506749632,31247.28394402619,0.9635354241747096
44.02274783323288,0.06822483829498596,31251.499325349723,0.9634765893148157
44.030618877007825,0.3333140751062168,31255.713466503606,0.963415590135539
44.03848992078277,0.4453280391147586,31259.92637764764,0.9633524166078609
44.046360964557714,0.01832588533096013,31264.138068980537,0.9632870582507994
44.05423200833264,5.089346435795317,31268.34855074201,0.9632195041273056
44.06210305210758,5.818667328520276,31272.557833214898,0.9631497428399729
44.06997409588252,6.310859356228987,31276.765926727276,0.9630777625265591
44.07784513965745,2.681502083417316,31280.972841654624,0.9630035508553174
44.085716183432396,0.4007079802631734,31285.178588421964,0.962927095020133
