time,time_raw,flux
54956.4405472,54956.4405472,266.388564080946
54956.4609818,54956.4609818,294.32443622825934
54956.4814163,54956.4814163,323.62786430198173
54956.5018509,54956.5018509,295.9497420812369
54956.5222854,54956.5222854,418.652750892663
54956.5427201,54956.5427201,387.36364750533744
54956.5631547,54956.5631547,565.3711540072667
54956.5835893,54956.5835893,667.1536605347146
54956.6040238,54956.6040238,650.784998183449
54956.6244584,54956.6244584,613.7212347473185
54956.644893,54956.644893,639.4490132127764
54956.6653275,54956.6653275,595.5339588198777
54956.6857622,54956.6857622,516.4291145816483
54956.7061968,54956.7061968,580.1789970561789
54956.7266313,54956.7266313,627.6534567433081
54956.7470659,54956.7470659,668.3117887046059
54956.7675005,54956.7675005,650.9258810363349
54956.787935,54956.787935,587.663516621975
54956.8083696,54956.8083696,557.1499196315223
54956.8288043,54956.8288043,466.2343459337183
54956.8492388,54956.8492388,379.7043896186491
54956.8696734,54956.8696734,241.6256163730893
54956.890108,54956.890108,151.88861566001023
54956.9105426,54956.9105426,18.835749326716968
54956.9309771,54956.9309771,-213.6940129654261
54956.9514117,54956.9514117,-456.3636741785784
54956.9718464,54956.9718464,-776.6292904418189
54956.9922809,54956.9922809,-907.7406478754602
54957.0127155,54957.0127155,-946.509548072994
54957.0331501,54957.0331501,-951.5043069868415
54957.0535846,54957.0535846,-981.9437826249372
54957.0740192,54957.0740192,-911.2708541763602
54957.0944538,54957.0944538,-893.3887021832206
54957.1148884,54957.1148884,-1006.7803893060573
54957.135323,54957.135323,-1053.076456892631
54957.1557576,54957.1557576,-1023.623304258979
54957.1761922,54957.1761922,-831.3984835324626
54957.1966267,54957.1966267,-763.1127437198553
54957.2170613,54957.2170613,-613.178510297502
54957.2374959,54957.2374959,-671.7197736021585
54957.2579305,54957.2579305,-627.8845280085937
54957.2783651,54957.2783651,-635.0994088030653
54957.2987996,54957.2987996,-494.41978390866234
54957.3192343,54957.3192343,-625.4818952874502
54957.3396688,54957.3396688,-630.7653702208496
54957.3601034,54957.3601034,-605.3958309159606
54957.380538,54957.380538,-535.6174703916888
54957.4009726,54957.4009726,-458.1080215917855
54957.4214072,54957.4214072,-396.15214467517995
54957.4418417,54957.4418417,-320.64477244125715
54957.4622764,54957.4622764,-238.30390326103029
54957.4827109,54957.4827109,-339.6513970124001
54957.5031455,54957.5031455,-507.2303935341872
54957.52358,54957.52358,-815.5532485257372
54957.5440147,54957.5440147,-1037.8490996945525
54957.5644493,54957.5644493,-1258.480226748065
54957.5848837,54957.5848837,-1368.9103054222853
54957.6053184,54957.6053184,-1526.8725141731964
54957.625753,54957.625753,-1467.1199700338686
54957.6461876,54957.6461876,-1257.369200743626
54957.6666221,54957.6666221,-1234.665993459911
54957.6870568,54957.6870568,-1043.3341803518977
54957.7074913,54957.7074913,-873.5740565066213
54957.7279258,54957.7279258,-389.36286586901934
54957.7483605,54957.7483605,20.31936201323792
54957.7687951,54957.7687951,344.24229922750254
54957.7892296,54957.7892296,612.7098923867956
54957.8096642,54957.8096642,674.6676691506574
54957.8300989,54957.8300989,721.7432068465031
54957.8505333,54957.8505333,617.2682408192212
54957.8709679,54957.8709679,434.7024312367566
54957.8914025,54957.8914025,149.941912907673
54957.9118372,54957.9118372,-148.31944840896242
54957.9322717,54957.9322717,-231.09513186615123
54957.9527063,54957.9527063,-502.16882882654784
54957.9731409,54957.9731409,-487.12432347801587
54957.9935754,54957.9935754,-505.48498921109984
54958.01401,54958.01401,-344.38996804527943
54958.0344445,54958.0344445,-319.45415003072293
54958.0548792,54958.0548792,-187.48204804406015
54958.0753138,54958.0753138,-121.48013184379222
54958.0957484,54958.0957484,-28.65616769761814
54958.1161829,54958.1161829,30.078544428638413
54958.1366175,54958.1366175,163.15207520201798
54958.1570521,54958.1570521,326.9954975167499
